item_id,barcode,name,pack_size,retail_price,tp_price,cost_price,quantity,rack_location,company_name,generic_name,category_name
3713,3713,OD-CYN INJ,1,77.05,67.0,67.0,0,,,,INJECTION
2733,2733,OFLOCIP 200MG TAB,1,36.8,32.0,32.0,0,,,,TABLET
4174,4174,OFLY-V DROPS,1,140.82,122.45,122.45,0,,,,DROPS
4469,4469,OFYLIN 60ML SYP,1,167.64,145.77,145.77,10,,,,SYRUP
4315,4315,OK DOTTED,1,89.7,78.0,78.0,12,,,,OTHER
448,448,OLIVE OIL SPAIN,1,230.0,200.0,200.0,1,,,,OTHER
622,622,OMAK 20MG,1,161.0,140.0,140.0,0,,,,OTHER
3344,3344,OMEALL 20MG CAP,1,32.2,28.0,28.0,0,,,,CAPSULE
4744,4744,OMEBAK 40MG IV INJECTION,1,74.75,65.0,65.0,8,,,,INJECTION
722,722,OMEC 20MG CAP,1,57.5,50.0,50.0,35,,,,CAPSULE
3909,3909,OMEC IV INFUGEN,1,92.0,80.0,80.0,8,,,,OTHER
708,708,OMECER 20MG CAP,1,28.75,25.0,25.0,0,,,,CAPSULE
2838,2838,OMEFIN 20MG CAP,1,26.45,23.0,23.0,0,,,,CAPSULE
4447,4447,OMEGA 3 CAP,1,333.5,290.0,290.0,0,,,,CAPSULE
2909,2909,OMEMARK 20MG CAP,1,29.9,26.0,26.0,0,,,,CAPSULE
2992,2992,OMEPERAZOLE INJ CHINA,1,69.0,60.0,60.0,0,,,,INJECTION
443,443,OMEPRA... UAE CAP,1,57.5,50.0,50.0,0,,,,CAPSULE
3773,3773,OMEPRAFAST 20MG CAP,1,58.65,51.0,51.0,0,,,,CAPSULE
3774,3774,OMEPRAFAST 40MG CAP,1,70.15,61.0,61.0,0,,,,CAPSULE
4083,4083,OMERAINS 20MG CAP,1,74.75,65.0,65.0,0,,,,CAPSULE
4049,4049,OMI-DEW 20MG CAP,1,155.25,135.0,135.0,0,,,,CAPSULE
4887,4887,OMINOX 100MG TAB,1,21.85,19.0,19.0,80,,,,TABLET
4032,4032,OMNIS TAB,1,28.17,24.5,24.5,0,,,,TABLET
5243,5243,OMREL 20MG CAP,1,80.5,70.0,70.0,0,,,,CAPSULE
2837,2837,OMREL SACHT,1,15.52,13.5,13.5,0,,,,SACHET
4629,4629,ON CALL PLUS,1,23.0,20.0,20.0,0,,,,OTHER
4892,4892,ONDENLES 8MG INJ,1,62.1,54.0,54.0,0,,,,INJECTION
3384,3384,ONEEDAL TAB,1,11.21,9.75,9.75,0,,,,TABLET
4079,4079,ONSET 4MG INJ,1,123.97,107.8,107.8,0,,,,INJECTION
4861,4861,ONSET 8MG INJ,1,209.78,182.42,182.42,0,,,,INJECTION
3812,3812,ONSET 8MG TAB,1,479.02,416.54,416.54,0,,,,TABLET
4661,4661,OPA 20MG SACHETS,1,8.05,7.0,7.0,0,,,,SACHET
3310,3310,OPARA 20MG CAP,1,33.35,29.0,29.0,0,,,,CAPSULE
3680,3680,OPICAP 20MG CAP,1,15.52,13.5,13.5,0,,,,CAPSULE
3189,3189,OPRIDON TAB,1,43.7,38.0,38.0,0,,,,TABLET
3152,3152,OPTACHLOR EYE DROPS,1,45.49,39.56,39.56,13,,,,DROPS
3114,3114,OPTACHLOR ONITEMENT,1,36.56,31.79,31.79,0,,,,OTHER
572,572,ORAY 20MG,1,25.59,22.25,22.25,0,,,,OTHER
3351,3351,OROQUINE 60ML SYP,1,26.45,23.0,23.0,0,,,,SYRUP
4318,4318,ORPASE 400MG CAP,1,303.02,263.5,263.5,2,,,,CAPSULE
4069,4069,ORS (OEM) LIQUID,1,86.25,75.0,75.0,15,,,,SYRUP
3568,3568,ORS (OSMOFAAS),1,8.62,7.5,7.5,0,,,,OTHER
2704,2704,ORS (OSMOLAR),1,8.34,7.25,7.25,0,,,,OTHER
3797,3797,ORS (RESURE),1,16.1,14.0,14.0,0,,,,OTHER
2906,2906,ORS (WERISOL),1,7.19,6.25,6.25,0,,,,OTHER
2419,2419,ORS S LYTE SACHETS,1,21.85,19.0,19.0,0,,,,SACHET
3593,3593,ORSAM BCD TAB,1,74.75,65.0,65.0,0,,,,TABLET
2619,2619,ORSLIM CAP,1,791.2,688.0,688.0,0,,,,CAPSULE
3729,3729,ORTABOLAMIN 500MCG TAB,1,12.65,11.0,11.0,0,,,,TABLET
3704,3704,ORTACEF 125MG SYP,1,63.25,55.0,55.0,0,,,,SYRUP
3938,3938,ORTAROX INJ,1,33.35,29.0,29.0,0,,,,INJECTION
3673,3673,ORTAZON 1GM INJ,1,55.2,48.0,48.0,0,,,,INJECTION
3516,3516,ORTHOFLEX FORT,1,51.75,45.0,45.0,0,,,,OTHER
3153,3153,ORTHOMAX-D TAB,1,62.1,54.0,54.0,0,,,,TABLET
3675,3675,ORTHOSAP 20MG TAB,1,28.75,25.0,25.0,0,,,,TABLET
2052,2052,ORTIZIN 10MG TAB,1,8.62,7.5,7.5,0,,,,TABLET
4835,4835,OSNATE-D TAB,1,112.61,97.92,97.92,8,,,,TABLET
2506,2506,OSPAMOX 250MG BARA SYP,1,100.22,87.15,87.15,0,,,,SYRUP
4859,4859,OSTUM-D 15ML DROPS,1,69.0,60.0,60.0,0,,,,DROPS
3472,3472,OTOCAINE EAR DROPS,1,28.17,24.5,24.5,0,,,,DROPS
3368,3368,OWELL 20MG CAP,1,32.2,28.0,28.0,0,,,,CAPSULE
4112,4112,OXALIV-250MG TAB,1,74.75,65.0,65.0,0,,,,TABLET
4113,4113,OXALIV-500MG TAB,1,106.95,93.0,93.0,0,,,,TABLET
